Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Campanula (Bellflower),"La Campanule est un genre d'environ 500 espèces d'annuelles, de vivaces et de bisannuelles de la famille des Campanulacées, originaire des régions tempérées de l'hémisphère nord. La Campanule est également connue sous le nom de fleur de cloche en raison de sa forme caractéristique de cloche, et en effet, ces jolies plantes ont des fleurs dont les pétales se chevauchent pour former une forme de cloche profonde. Ces plantes qui aiment le soleil existent dans de nombreuses tailles et variétés, depuis les espèces alpines naines jusqu'aux espèces forestières de grande taille. Nombre d'entre elles sont cultivées comme plantes ornementales de jardin.","Annuals, Perennials","Spring, Autumn, Summer","Some species grow just 5 to 10 cm (a few inches) tall, while others can grow 2 metres (6 ft) in height.","Campanula prefers rich, well drained soil.","Full sun, Partial sun",avarage,low,Limon
Canna (Canna Lily),"Canna est un genre d'environ 10 espèces de plantes herbacées vivaces de la famille des Cannaceae, originaires des régions tropicales et semi-tropicales d'Amérique du Nord, d'Amérique centrale et d'Amérique du Sud. Les cannas sont souvent appelés « lys de Canna », bien qu'ils n'aient aucun lien avec la famille des liliacées (Liliaceae). Ils produisent de grandes feuilles en forme de banane et des fleurs colorées qui ressemblent à des iris. Ces fleurs exotiques ajoutent de la couleur, de l'intérêt visuel et de la texture au paysage. Elles égayeront instantanément vos plates-bandes et bordures tout au long de l'été.","Bulbs, Perennials","Autumn, Summer",The species vary in height from 90 cm (3 ft) to 3 m (10 ft).,"They can be planted in a wide range of soils, but optimal soil is fertile, moist and well-drained. The ideal soil pH is between 5.5 and 6.5.",Full sun,avarage,medium,Limon
Celosia (Celosia),"La célosie est un genre d'environ 50 espèces de la famille des Amaranthaceae, originaire des régions tropicales d'Afrique, d'Asie et d'Amérique du Sud. La célosie a des fleurs frappantes qui attirent l'attention et qui fleurissent en été et jusqu'à l'automne. Ces fleurs sont disponibles dans une grande variété de couleurs, de formes et de tailles, ajoutant de la couleur et du caractère à votre jardin.","Annuals, Perennials","Autumn, Summer",The plants range from dwarf species to the larger varieties that grow up to 150 cm (5 ft) high.,"Celosia prefers rich, moist and well drained soil. It thrives in clay and is drought tolerant once established. The soil should have a pH level between 6.0 and 7.0.",Full sun,avarage,low,Limon
Centaurea (Cornflower; Bachelor's Button; Basket Flower),"Centaurea est un genre d'environ 500 espèces de la famille des Asteraceae, originaire de l'Ancien Monde. Ces plantes ont des tiges dressées et velues, des feuilles étroites en forme de lance et des fleurs disposées en capitules au sommet de la tige fleurie. Les fleurs contiennent des fleurons en forme de disque, comme ceux du centre jaune d'une marguerite, et des fleurons en forme de pétales à la périphérie du capitule. Les centaurées sont rares à l'état sauvage, mais deviennent de plus en plus populaires dans les jardins.","Annuals, Perennials","Spring, Summer",Centaurea can reach 30 to 90 cm (1 to 3 ft) in height.,"Centaurea plants prefer moist and well drained soil, with a pH level between 5.5 and 7.0.  However, they are very adaptable and will grow in nutritionally poor soils.","Full sun, Partial sun",avarage,low,Limon
Chrysanthemum (Mum),"Le chrysanthème est un genre d'environ 40 espèces de plantes vivaces originaires d'Asie et d'Europe, qui appartient à la famille des astéracées. Le chrysanthème est l'une des fleurs les plus populaires au monde. Il existe en différentes formes, tailles et couleurs et produit de magnifiques fleurs qui s'épanouissent en été et en automne. La plante est idéale pour la culture en parterre et en pot.",Perennials,"Spring, Autumn",Chrysanthemums range in size from 30 cm (1 ft) to 120 cm (4 ft).,The plant likes moist and well drained soil. The optimal soil pH is between 6.0 and 7.0.,Full sun,avarage,medium,Limon
Clarkia (Godetia),"Clarkia est un genre d'environ 40 espèces d'annuelles de la famille des Onagraceae, principalement originaires de l'ouest de l'Amérique du Nord. Le Clarkia produit des fleurs joyeuses, en forme de coupe, de formes et de couleurs variées. Les fleurs ont généralement quatre sépales et quatre pétales réunis à la base du tube floral. Les clarkias sont des beautés faciles à cultiver qui apporteront des couleurs vives et du charme à votre jardin d'été.",Annuals,"Autumn, Summer",This plant can reach up to 150 cm (5 ft) tall.,"Clarkia grows best in rich, moist, well drained and loamy soils, with a pH between 6.0 and 8.5.","Full sun, Partial sun",low,low,Limon
Claytonia (Spring Beauty),"La Claytonia, communément appelée Spring Beauty, est un genre d'environ 30 espèces de plantes à fleurs de la famille des Montiaceae, originaires d'Amérique et d'Asie. Elles se présentent sous différentes formes, avec des espèces annuelles et vivaces. Les fleurs sont généralement à cinq pétales et se déclinent dans des tons blancs, roses, violets et rouges. Leur habitat naturel est la forêt, ce qui leur permet d'apprécier la lumière filtrée du soleil. Certaines espèces sont comestibles et ont un goût très agréable !","Annuals, Bulbs, Perennials","Spring, Winter, Summer",This plant can grow up to 30 cm (1 ft) tall.,Spring Beauty prefers rich and well-drained soil. The ideal soil pH is between 5.5 and 7.5.,"Full sun, Partial sun",avarage,low,Limon
Clematis (Travellers Joy; Old Man's Beard),"La clématite est un genre de plus de 300 espèces de plantes grimpantes à fleurs, d'arbustes et de plantes vivaces herbacées de la famille des Ranunculaceae, originaires d'Asie de l'Est. Ces plantes se présentent sous différentes formes, tailles et couleurs, y compris une gamme de différents types de fleurs. Elles sont polyvalentes et faciles à entretenir. La clématite, également connue sous le nom de « reine des plantes grimpantes », est sans aucun doute l'une des plantes de jardin les plus populaires. Les tiges flexibles et fleuries produisent des effets excitants dans le jardin, créant une expérience glorieuse tout au long de la saison.","Climbers, Perennials, Shrubs","Spring, Autumn, Winter, Summer",The species range in size from 30 cm (1 ft) to 12 metres (40 ft).,Clematis prefers moist and well drained soil. The ideal soil ph is between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low,Limon
Clerodendrum (Glorybower; Bagﬂower),"Clerodendrum est un grand genre de plus de 300 espèces de plantes à fleurs de la famille des Lamiaceae, originaires des régions tropicales et subtropicales du monde. Le genre comprend des arbustes, des arbres et des plantes grimpantes. Ces plantes sont de tailles, de formes et de couleurs variées. Elles ont généralement de grandes feuilles et des fleurs voyantes aux couleurs vives, qui sont parfumées chez certaines espèces. De nombreuses espèces sont cultivées pour leurs fruits colorés et leurs belles fleurs qui émergent en grappes. Elles constituent un excellent élément pour les parterres de fleurs ou les bordures.","Climbers, Shrubs, Trees","Spring, Autumn, Winter, Summer","The plant usually grows from 90 cm (3 ft) to 12 m (40 ft) tall. Some species, such as Clerodendrum loribundum, can grow to 30 m (98 ft) in height.","Clerodendrum likes fertile, moist and well-drained soil, but is tolerant of most soil types. It is not particular as to soil pH.","Full sun, Partial sun",avarage,medium,Limon
Convallaria (Lily of the Valley),"Convallaria est un petit genre de la famille des Asparagaceae, originaire des régions tempérées de l'hémisphère nord. Le genre est composé de trois espèces - Convallaria majalis, Convallaria montana et Convallaria keiskei. Elles vivent dans des endroits ombragés et sont l'une des plantes à floraison les plus parfumées au printemps et au début de l'été. Les plantes produisent de délicates fleurs en forme de clochettes et de petites baies rouges à maturité. Le feuillage vert foncé sert de toile de fond aux petites fleurs pendantes et cireuses qui sont généralement blanches. Chaque fleur a six pétales fusionnés en clochettes pendantes le long d'un côté au sommet de la tige florale. Le muguet est une plante idéale pour les jardins forestiers ou comme couvre-sol dans les bordures ombragées.","Bulbs, Perennials","Spring, Summer",Convallaria reaches about 30 cm (1 ft) in height.,"Convallaria will grow best in rich, moist and well drained soil. The plant is not fussy about the soil pH.","Partial sun, Shade",avarage,low,Limon
Coreopsis (Tickseed; Calliopsis),"Le Coreopsis est un genre d'environ 100 espèces de la famille des Asteraceae, que l'on trouve communément dans les prairies et les forêts d'Amérique du Nord, d'Amérique centrale et d'Amérique du Sud. Le Coreopsis produit des fleurs aux couleurs vives et éclatantes, semblables à des marguerites, qui fleurissent en été et en automne. Au cours de leur croissance, les plantes développent des fleurs individuelles ou des fleurs disposées en grappes terminales. Elles sont faciles à entretenir et sont idéales pour les plates-bandes, les bordures, les conteneurs et les plantes couvre-sol. Plantez-les en masse pour obtenir un bel effet !
","Annuals, Perennials","Autumn, Summer",The different varieties of this plant range in height from 15 cm (6 inches) to 120 cm (4 ft).,Coreopsis will thrive in almost any type of soil that is well drained.,Full sun,avarage,low,Limon
Cosmos (Cosmos),"Le cosmos est un genre d'environ 40 espèces de plantes à fleurs, pour la plupart annuelles. Ils appartiennent à la famille des Astéracées, l'une des plus grandes familles de plantes à fleurs. Ces plantes attrayantes, originaires d'Amérique tropicale, ont de grandes fleurs brillantes ressemblant à des marguerites et des feuilles vertes qui poussent dans des formes et des motifs variés. Si vous recherchez une jolie fleur utile qui attire les abeilles, les oiseaux et les papillons et qui nécessite peu d'entretien, le Cosmos est une fleur parfaite pour vous !",Annuals,"Autumn, Summer",Cosmos can grow between 30-120 cm (1-4 ft) tall.,"Cosmos likes moist and well drained soil, with a pH between 5.0 and 8.0.",Full sun,avarage,low,Limon
Crocosmia (Montbretia),"Le Crocosmia est un genre d'environ 10 espèces de la famille des Iridaceae, originaire du sud et de l'est de l'Afrique. La plante a un feuillage en forme d'épée et des fleurs en forme d'entonnoir aux couleurs vives sur des tiges arquées. Le Crocosmia fleurit de juillet à octobre et attire beaucoup d'attention.","Bulbs, Perennials","Autumn, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Crocosmia likes fertile, moist and well drained soil of any pH. However, it will grow in a wide range of conditions.","Full sun, Partial sun",avarage,low,Limon
Cyclamen (Sowbread),"Le cyclamen est un genre d'environ 20 espèces de plantes vivaces tubéreuses de la famille des Primulaceae. La plupart d'entre elles sont originaires d'Europe et de la Méditerranée. Ces plantes ont des feuilles attrayantes en forme de cœur et des fleurs colorées à cinq pétales de forme unique. Elles sont l'une des plantes d'intérieur les plus populaires, mais dans des conditions adéquates, elles s'épanouissent également à l'extérieur. Elles vous fascineront par leur beauté et leur perfection !","Bulbs, Perennials","Autumn, Winter",Cyclamens are relatively small plants growing up to 15 cm (6 inches) in height.,"These plants prefer organically rich and well drained soil. Grow them in moist, but not waterlogged soil.",Partial sun,avarage,low,Limon
Cymbidium (Cymbidium),"Le cymbidium est un genre d'environ 50 espèces de la famille des Orchidaceae, originaire des hautes altitudes de l'Asie du Sud-Est, bien que plusieurs espèces soient originaires du nord de l'Australie. Les cymbidiums ont une longue tige qui produit de belles fleurs exotiques à l'aspect cireux. Ces plantes vivaces poussent dans la nature sur des rochers ou des branches d'arbres. Elles font partie des orchidées les plus populaires au monde en raison de leur facilité d'entretien, de leur adaptabilité et de leurs fleurs spectaculaires dans une large gamme de couleurs.",Perennials,"Spring, Autumn, Winter","Cymbidium range in size, from dwarf species to some reaching 1,5 metres (5 ft) in height.",This plant can grow in almost any kind of soil that is well drained.,Partial sun,avarage,low,Limon
